stop_id,stop_code,Stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3314,3314,Lorraine Ave & Homewood Dr Fs/Nb,,38.017247,-121.284451,,,,,,0
3316,3316,Hammer Ln & Pavilion Plaza Fs/Eb,,38.020962,-121.275939,,,,,,0
3318,3318,Hammer Ln & Holman Rd Fs/Eb,,38.021001,-121.270942,,,,,,0
3319,3319,Sampson Rd & Hammer Ln Fs/Sb,,38.020075,-121.267833,,,,,,0
3321,3321,Hammer Ln & Girardi Fs/Wb,,38.021231,-121.277286,,,,,,0
3322,3322,Lorraine Ave & Homewood Ns/Sb,,38.01686,-121.284879,,,,,,0
3324,3324,Hammertown & Everest Ave Fs/Wb,,38.016636,-121.292676,,,,,,0
3515,3515,Airport Wy & Park St Fs/Nb,,37.962535,-121.276028,,,,,,0
3516,3516,Airport Wy & Roosevelt St Ns/Nb,,37.96711,-121.277294,,,,,,0
3519,3519,Harding Wy & Hiawatha Ave Fs/Eb,,37.971625,-121.270201,,,,,,0
3520,3520,Cherokee Rd & Waterloo Rd Fs/Nb,,37.974028,-121.267291,,,,,,0
3521,3521,Cherokee Rd & Myran Ave Fs/Nb,,37.983609,-121.260226,,,,,,0
3867,3867,Carolyn Weston & Mcdougald Fs Wb,CAROLYN WESTON BLVD & MCDOUGALD BLVD,37.911381,-121.299033,,,,,,0
3868,3868,Carolyn Weston & General Mueller Wb,CAROLYN WESTON BLVD & GEN MUELLER LN,37.911476,-121.302217,,,,,,0
3870,3870,Carolyn Weston & Ishi Goto St Fs Wb,,37.912491,-121.309337,,,,,,0
7210,7210,Carolyn Weston & Gaswell Fs Wb,CAROLYN WESTON BLVD & GASWELL,37.913472,-121.313274,,,,,,0
3875,3875,Henry Long & Ews Wood Blvd Fs Eb,,37.902021,-121.302847,,,,,,0
3879,3879,William Moss Bl & Ramalho Ln Fs Eb,,37.906684,-121.291852,,,,,,0
3876,3876,Henry Long & Woodhollow Fs Eb,,37.901151,-121.298998,,,,,,0
3877,3877,Mcdougald Blvd & Henry Long Fs Nb,,37.900808,-121.294725,,,,,,0
3871,3871,Carolyn Weston & Kay Bridges Fs Wb,CAROLYN WESTON BLVD & KAY BRIDGES PL,37.911021,-121.317928,,,,,,0
